talent,job,label
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'French': Language(French,B2,False), 'Turkish': Language(Turkish,A2,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'java-developer', 'mobile-developer'],junior,48000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C2,False), 'Spanish': Language(Spanish,A2,False), 'French': Language(French,A2,False)},['frontend-developer', 'full-stack-developer', 'c-c-developer', 'mobile-developer'],junior,44000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'English': Language(English,C2,False), 'Romanian': Language(Romanian,C2,False), 'German': Language(German,A1,False)},['frontend-developer', 'backend-developer', 'php-developer', 'software-architect', 'database-administrator'],senior,40000,None)","Job({'German': Language(German,C1,False), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],65000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'c-net-developer', 'java-developer'],junior,46000,apprenticeship)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['devops-engineer', 'frontend-developer', 'backend-developer', 'full-stack-developer', 'tech-lead'],midlevel,75000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,False)},['backend-developer', 'full-stack-developer'],['midlevel'],80000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'php-developer', 'devops-engineer'],senior,75000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,True)},['php-developer'],['midlevel', 'senior'],80000,None)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,B1,False), 'Turkish': Language(Turkish,C1,False)},['backend-developer', 'java-developer', 'data-engineer', 'consulting'],senior,60000,bachelor)","Job({'German': Language(German,C2,True)},['data-scientist', 'data-engineer', 'data-analyst'],['midlevel', 'senior'],65000,None)",True
"Talent({'English': Language(English,C2,False), 'French': Language(French,C1,False), 'German': Language(German,C2,False), 'Spanish': Language(Spanish,A2,False)},['consulting', 'sales-manager', 'key-account-manager', 'business-development-manager'],junior,54000,master)","Job({'German': Language(German,C1,True), 'English': Language(English,C1,True)},['sales-manager'],[None, 'junior', 'midlevel'],70000,bachelor)",True
"Talent({'German': Language(German,C2,False), 'English': Language(English,C1,False), 'Russian': Language(Russian,C1,False)},['c-c-developer', 'qa-engineer', 'devops-engineer'],midlevel,70000,bachelor)","Job({'English': Language(English,C1,True), 'German': Language(German,B1,False)},['c-c-developer'],['junior', 'midlevel', 'senior'],65000,None)",True
"Talent({'English': Language(English,C2,False), 'German': Language(German,C1,False)},['frontend-developer', 'backend-developer', 'full-stack-developer', 'c-net-developer'],junior,55000,bachelor)","Job({'German': Language(German,C1,True), 'English': Language(English,B2,True)},['frontend-developer'],['junior', 'midlevel'],70000,None)",True
