t_seniority_missing,t_seniority,j_min_seniority,j_max_seniority,tj_diff_seniority,t_degree,j_degree,tj_diff_degree,tf_salary_diff,tf_role_match,j_lang_importance,tj_lang_avg_diff,label
0,1,1,2,0,2,0,2,0.3142955100641419,1,2,1.5,True
0,1,1,2,0,3,0,3,0.3714375508921301,1,2,1.5,True
0,3,2,3,0,0,0,0,0.384624851925355,1,1,1.0,True
0,1,1,2,0,1,0,1,0.34286653047813603,1,2,1.0,True
0,2,2,2,0,3,2,1,0.06251171860351745,1,1,1.0,True
0,3,2,3,0,3,0,3,0.06251171860351745,1,2,0.5,True
0,3,2,3,0,2,0,2,0.0769372778880325,1,1,0.0,True
0,1,0,2,0,3,2,1,0.2285824488221597,1,2,1.0,True
0,2,1,3,0,2,0,2,-0.07690650913062876,1,1,0.0,True
0,1,1,2,0,2,0,2,0.21429693861516264,1,2,1.0,True
0,1,0,2,0,3,2,1,0.28572448965014785,1,2,0.0,True
0,3,2,3,0,1,0,1,0.10770603529176474,1,1,0.0,True
0,2,1,3,0,2,2,0,-0.014271224696790047,1,2,1.0,True
0,2,1,2,0,2,0,2,0.28572448965014785,1,2,0.0,True
0,2,1,2,0,2,0,2,0.4285795917201183,1,2,1.5,True
0,1,1,1,0,3,2,1,-0.06152213042876264,1,1,0.0,True
0,1,1,2,0,0,0,0,0.4285795917201183,1,2,1.5,True
0,2,2,2,0,3,3,0,0.4444506172153643,1,1,1.0,True
0,3,0,3,0,3,2,1,0.29269155254204215,1,1,0.0,True
0,1,0,3,0,3,2,1,0.26830160607797465,1,1,0.0,True
0,2,1,3,0,2,0,2,0.3142955100641419,1,1,0.0,True
0,3,2,3,0,0,0,0,0.23078106490669376,1,1,0.0,True
0,2,2,3,0,2,0,2,-0.0999890001099989,1,1,1.0,True
0,1,1,2,0,2,0,2,0.28572448965014785,1,2,0.5,True
0,3,2,3,0,3,1,2,-0.05554382729080788,1,1,2.0,True
0,1,1,2,0,0,0,0,0.11429836716618334,1,2,1.5,True
0,1,1,3,0,2,2,0,0.25374248145550066,1,1,1.0,True
0,2,1,3,0,3,0,3,0.45715061213411234,1,1,0.0,True
1,0,0,3,0,2,2,0,0.6951256691991561,1,1,1.0,True
0,3,2,3,0,2,1,1,1.24998437519531e-05,1,1,1.0,True
1,0,0,1,0,2,0,2,-0.1110905353604563,1,1,0.0,True
0,2,2,2,0,2,2,0,1.24998437519531e-05,1,1,1.0,True
0,1,1,2,0,2,0,2,0.2571534692361538,1,2,1.5,True
0,1,1,2,0,2,0,2,0.14286938758017742,1,2,1.0,True
0,2,1,2,0,2,0,2,0.0714418365451922,1,2,0.5,True
0,2,2,2,0,0,0,0,0.14286938758017742,1,2,0.0,True
0,3,2,3,0,2,0,2,-0.06665244463407155,1,2,2.5,True
0,1,0,1,0,3,0,3,-0.0999780004399912,1,1,0.0,True
0,3,2,3,0,2,1,1,1.1110987655692714e-05,1,1,2.0,True
0,2,0,3,0,2,2,0,0.18293679345373837,1,1,0.0,True
0,3,2,3,0,1,0,1,-0.06665244463407155,1,2,2.0,True
0,3,2,3,0,0,0,0,-0.07690650913062876,1,1,0.0,True
0,1,1,3,0,0,0,0,0.40000799989333474,1,1,1.0,True
0,2,2,2,0,0,0,0,0.6428622448250739,1,2,0.5,True
0,2,2,3,0,2,0,2,0.0666791109451874,1,2,2.5,True
0,2,1,2,0,1,0,1,0.1000128569591863,1,2,0.5,True
0,2,1,2,0,2,0,2,0.14286938758017742,1,2,1.0,True
0,3,2,3,0,4,1,3,0.20000888879012454,1,1,2.0,True
0,2,0,2,0,2,2,0,-0.11426979614576935,1,2,0.5,True
0,1,1,1,0,2,2,0,0.30770295841602435,1,1,0.0,True
0,2,2,3,0,4,0,4,0.13334488873481687,1,2,3.0,True
0,3,1,3,0,1,0,1,0.35715204068513307,1,1,0.0,True
0,2,1,2,0,1,0,1,0.35715204068513307,1,2,0.5,True
0,1,1,3,0,3,2,1,0.1000128569591863,1,2,1.0,True
0,3,1,3,0,3,2,1,1.3333155557925894e-05,1,0,0.0,True
0,1,1,3,0,1,0,1,0.4428651019271153,1,1,0.0,True
0,3,1,3,0,1,0,1,0.0714418365451922,1,1,0.0,True
0,2,2,2,0,3,1,2,0.3333407406584371,1,1,2.0,True
0,1,0,1,0,2,0,2,0.35186385437306716,1,1,0.0,True
0,2,2,3,0,1,0,1,0.37334168877748297,1,2,3.0,True
0,1,1,2,0,2,0,2,0.28572448965014785,1,2,1.0,True
0,3,2,3,0,3,0,3,-0.04998950010499895,1,1,1.0,True
0,1,0,1,0,1,0,1,0.2000159996800064,1,1,0.0,True
0,1,0,1,0,2,0,2,0.3000139997200056,1,1,0.0,True
0,3,2,3,0,2,2,0,-0.04936976086714979,1,1,0.0,True
0,2,1,2,0,2,0,2,0.0714418365451922,1,2,1.0,True
0,3,2,3,0,0,0,0,-0.06665244463407155,1,1,0.0,True
0,3,1,3,0,3,0,3,-0.14284081655976344,1,1,0.0,True
0,1,0,1,0,2,0,2,0.5000092590877947,1,1,0.0,True
0,2,2,2,0,2,0,2,0.028585305924201082,1,2,0.5,True
0,1,1,2,0,3,0,3,0.21429693861516264,1,2,0.5,True
0,1,1,2,0,2,0,2,0.0714418365451922,1,2,1.0,True
0,1,1,2,0,3,0,3,0.08572734675218925,1,2,0.0,True
0,1,1,1,0,0,0,0,0.29630932760504436,1,1,1.0,True
0,2,2,3,0,1,0,1,-0.14284081655976344,1,0,0.0,True
0,3,2,3,0,3,0,3,0.1538591713973631,1,1,1.0,True
0,2,2,3,0,0,0,0,0.20001066652444635,1,2,1.0,True
0,2,1,3,0,1,0,1,0.21429693861516264,1,1,0.0,True
0,2,2,3,0,0,0,0,0.384624851925355,1,1,0.0,True
0,2,2,2,0,1,1,0,0.5555604937722914,1,1,2.0,True
0,3,2,3,0,0,0,0,-0.12498593767577905,1,2,0.5,True
0,2,2,3,0,3,0,3,-0.07690650913062876,1,1,0.0,True
0,2,1,2,0,3,0,3,1.4285510206997042e-05,1,2,1.0,True
0,1,1,2,0,2,0,2,0.21429693861516264,1,2,0.5,True
0,3,2,3,0,3,0,3,-0.06665244463407155,1,1,0.0,True
0,2,2,3,0,3,1,2,0.42222864190397885,1,1,2.0,True
0,2,1,2,0,2,0,2,0.28572448965014785,1,2,1.5,True
0,2,2,2,0,3,3,0,0.033344073954733836,1,1,1.0,True
0,1,0,1,0,2,0,2,0.06001879962400752,1,1,0.0,True
0,2,1,3,0,3,2,1,0.025012187347658154,1,0,0.0,True
0,1,1,2,0,1,0,1,0.3142955100641419,1,2,0.5,True
0,1,0,1,0,1,0,1,0.11112757171163497,1,1,0.0,True
0,1,1,2,0,2,0,2,0.14286938758017742,1,2,1.0,True
0,3,2,3,0,3,0,3,0.030784141782434115,1,1,0.0,True
0,3,2,3,0,0,0,0,0.1000089999100009,1,1,1.0,True
0,2,1,2,0,3,0,3,1.4285510206997042e-05,1,2,0.5,True
0,2,2,2,0,3,2,1,0.18751015612304847,1,1,1.0,True
0,2,2,3,0,3,2,1,0.2555638270685881,1,1,0.0,True
0,1,1,2,0,3,1,2,-0.0999780004399912,1,1,0.0,True
0,1,0,3,0,3,2,1,0.1463518737576371,1,1,1.0,True
0,2,1,2,0,3,0,3,0.0714418365451922,1,2,1.0,True
0,3,2,3,0,2,2,0,1.1110987655692714e-05,1,1,0.0,True
